identifier,parent_identifier
UKSA_NS_UKSA-022,UKSA-DEL-INTPART
UKSA_NS_UKSA-051,UKSA-DEL-INTPART
UKSA_NS_UKSA-052,UKSA-DEL-INTPART
UKSA_C1_01,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_02,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_03,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_04,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_05,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_06,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_07,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_08,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_09,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_12,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_13,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_14,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_17,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_18,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_10,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_11,UKSA-GCRF-INTPART-CALL-1
UKSA_NG_UKSA-020,UKSA-GCRF-INTPART-CALL-1
UKSA_TZ_UKSA-021,UKSA-GCRF-INTPART-CALL-1
UKSA_SC_UKSA-046,UKSA-GCRF-INTPART-CALL-1
UKSA_PE_UKSA-048,UKSA-GCRF-INTPART-CALL-1
UKSA_CL_UKSA-049,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_15,UKSA-GCRF-INTPART-CALL-1
UKSA_C1_16,UKSA-GCRF-INTPART-CALL-1
UKSA_C2_01,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_02a,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_03,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_04,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_06,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_07ab,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_07a,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_08,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_09,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_10a,UKSA-GCRF-INTPART-CALL-2
UKSA_C2_11,UKSA-GCRF-INTPART-CALL-2
UKSA_NS_UKSA-019,UKSA-GCRF-INTPART-CALL-2
UKSA_CO_UKSA-37,UKSA-GCRF-INTPART-CALL-2
